,Conditions,Task,User,Scale,Results
369,75.0,Compress,User9,Large,4.0
370,25.0,Squeeze,User9,Large,4.0
371,25.0,Compress,User9,Large,4.0
372,30.0,Squeeze,User9,Large,4.0
373,30.0,Compress,User9,Large,4.0
374,35.0,Squeeze,User9,Large,4.0
375,35.0,Compress,User9,Large,4.0
376,40.0,Squeeze,User9,Large,4.0
377,40.0,Compress,User9,Large,4.0
378,45.0,Squeeze,User8,Large,-4.0
379,45.0,Compress,User8,Large,4.0
380,47.0,Squeeze,User8,Large,-4.0
381,47.0,Compress,User8,Large,-4.0
382,49.0,Squeeze,User8,Large,-4.0
383,49.0,Compress,User8,Large,-4.0
384,51.0,Squeeze,User8,Large,-4.0
385,51.0,Compress,User8,Large,-4.0
386,53.0,Squeeze,User8,Large,-4.0
387,53.0,Compress,User8,Large,4.0
388,55.0,Squeeze,User8,Large,-4.0
389,55.0,Compress,User8,Large,-4.0
390,57.0,Squeeze,User8,Large,-4.0
391,57.0,Compress,User8,Large,-4.0
392,59.0,Squeeze,User8,Large,-4.0
393,59.0,Compress,User8,Large,4.0
394,61.0,Squeeze,User8,Large,-4.0
395,61.0,Compress,User8,Large,-4.0
396,63.0,Squeeze,User8,Large,-4.0
397,63.0,Compress,User8,Large,4.0
398,65.0,Squeeze,User8,Large,-4.0
399,65.0,Compress,User8,Large,-4.0
400,10.0,Squeeze,User8,Large,4.0
401,10.0,Compress,User8,Large,4.0
402,12.0,Squeeze,User8,Large,4.0
403,12.0,Compress,User8,Large,4.0
404,14.0,Squeeze,User8,Large,4.0
405,14.0,Compress,User8,Large,4.0
406,16.0,Squeeze,User8,Large,4.0
407,16.0,Compress,User8,Large,4.0
408,18.0,Squeeze,User8,Large,4.0
409,18.0,Compress,User8,Large,4.0
410,20.0,Squeeze,User8,Large,4.0
411,20.0,Compress,User8,Large,4.0
412,22.0,Squeeze,User8,Large,4.0
413,22.0,Compress,User8,Large,-4.0
414,24.0,Squeeze,User8,Large,-4.0
415,24.0,Compress,User8,Large,-4.0
416,1.0,Squeeze,User8,Large,-4.0
417,1.0,Compress,User8,Large,-4.0
418,6.0,Squeeze,User8,Large,4.0
419,6.0,Compress,User8,Large,4.0
420,70.0,Squeeze,User8,Large,-4.0
421,70.0,Compress,User8,Large,-4.0
422,75.0,Squeeze,User8,Large,-4.0
423,75.0,Compress,User8,Large,-4.0
424,25.0,Squeeze,User8,Large,-4.0
425,25.0,Compress,User8,Large,4.0
426,30.0,Squeeze,User8,Large,4.0
427,30.0,Compress,User8,Large,-4.0
428,35.0,Squeeze,User8,Large,-4.0
429,35.0,Compress,User8,Large,-4.0
430,40.0,Squeeze,User8,Large,-4.0
431,40.0,Compress,User8,Large,-4.0
432,45.0,Squeeze,User7,Large,4.0
433,45.0,Compress,User7,Large,4.0
434,47.0,Squeeze,User7,Large,4.0
435,47.0,Compress,User7,Large,4.0
436,49.0,Squeeze,User7,Large,4.0
437,49.0,Compress,User7,Large,4.0
438,51.0,Squeeze,User7,Large,4.0
439,51.0,Compress,User7,Large,4.0
440,53.0,Squeeze,User7,Large,4.0
441,53.0,Compress,User7,Large,4.0
442,55.0,Squeeze,User7,Large,4.0
443,55.0,Compress,User7,Large,4.0
444,57.0,Squeeze,User7,Large,4.0
445,57.0,Compress,User7,Large,4.0
446,59.0,Squeeze,User7,Large,4.0
447,59.0,Compress,User7,Large,4.0
448,61.0,Squeeze,User7,Large,4.0
449,61.0,Compress,User7,Large,4.0
450,63.0,Squeeze,User7,Large,4.0
451,63.0,Compress,User7,Large,4.0
